place_id,address,lat,lng,place,place_type,category,region_id,popularity
5511,전남 광양시 진상면 섬거리 304-21,35.0173698199177,127.718662500652,방랑객,음식점,['맛집'],1,0.8197317434725877
5512,전남 광양시 태인동 125-7,34.9435348305824,127.757677690837,휴가저택,카페,['카페'],1,0.8259648423991649
5513,전남 순천시 해룡면 상내리 837-4,34.8485793827728,127.525016676856,금향카페,카페,['카페'],1,0.6205281051003753
5514,전남 여수시 학동 209-10,34.7589708342023,127.659987298485,순천만487카페,카페,['카페'],1,0.9001023006961433
5515,전남 순천시 장천동 31-3,34.9488875184444,127.489377316723,카페오곡,카페,['카페'],1,0.8363626199033958
5516,전남 여수시 중앙동 109-2,34.7379556223115,127.741663954886,우즈베이커리카페,카페,['카페'],1,0.9884694346268309
5517,전남 여수시 중앙동 732,34.7402742249908,127.735653992875,염전의봄,음식점,['맛집'],1,0.5792033943034973
5518,전남 여수시 소라면 죽림리 1210-4,34.761718490153,127.635914444525,카틀레야,음식점,['맛집'],1,0.9185390589069966
5519,전남 보성군 회천면 동율리 552,34.6709133567175,127.088686838359,율포해수녹차센터,스파,"['힐링', '자연']",1,0.7480700336308537
5520,전남 광양시 중동 1866-3,34.931676398309,127.699255173658,멜록,카페,['카페'],1,0.9192918046572296
5521,전남 순천시 저전동 121-6,34.9522183352743,127.481655028699,버건디클럽,카페,['카페'],1,0.9182994383634132
5522,전남 여수시 학동 94-7,34.7582948782482,127.664891269019,광명대창집여수여천점,음식점,['맛집'],1,0.9019923239597796
